ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          NT11
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            41,       3.30173,   200.000E-03,            0.,NA,NA,"",       29.0929
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            42,       3.30177,   220.000E-03,            0.,NA,NA,"",       29.0931
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            43,       3.30181,   240.000E-03,            0.,NA,NA,"",       29.0933
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            44,       3.30186,   260.000E-03,            0.,NA,NA,"",       29.0935
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            45,       3.30190,   280.000E-03,            0.,NA,NA,"",       29.0936
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            46,       3.30194,   300.000E-03,            0.,NA,NA,"",       29.0937
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            47,       3.30199,   320.000E-03,            0.,NA,NA,"",       29.0938
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            48,       3.30203,   340.000E-03,            0.,NA,NA,"",       29.0939
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            49,       3.30207,   360.000E-03,            0.,NA,NA,"",       29.0940
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            50,       3.30211,   380.000E-03,            0.,NA,NA,"",       29.0940
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            51,       3.30216,   400.000E-03,            0.,NA,NA,"",       29.0940
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            52,       3.27732,  -599.960E-03,            0.,NA,NA,"",       29.0842
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            53,       3.27672,  -579.961E-03,            0.,NA,NA,"",       29.0842
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            54,       3.27613,  -559.962E-03,            0.,NA,NA,"",       29.0843
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            55,       3.27554,  -539.963E-03,            0.,NA,NA,"",       29.0843
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            56,       3.27495,  -519.963E-03,            0.,NA,NA,"",       29.0844
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            57,       3.27435,  -499.964E-03,            0.,NA,NA,"",       29.0845
